ID,LCLAS_NM,MLSFC_NM,POI_ID,POI_NM,BHF_NM,ASSTN_NM,CL_CD,CL_NM,PNU,CTPRVN_NM,SIGNGU_NM,LEGALDONG_NM,LI_NM,LNBR_NO,LEGALDONG_CD,ADSTRD_CD,RDNMADR_CD,RDNMADR_NM,BULD_NO,LC_LO,LC_LA,GID_CD,LAST_CHG_DE,ORIGIN_NM,FILE_NM,BASE_DE
"KCMPLPO23N000000001","장소","관광지","4898815","한국민속촌다모드라마촬영지",,,"60515","드라마/영화촬영지","4146310500100350000","경기도","용인시 기흥구","보라동",,"35","4146310500","4146353500","414633204030","민속촌로","90","127.122856255792","37.2606539899102","다사665180","20231220","KT","KC_502_LLR_MOVIE_DRMA_PLCE_2023","20231220"
"KCMPLPO23N000000002","장소","관광지","5404922","연개소문촬영지",,,"60515","드라마/영화촬영지","4728025321104530001","경상북도","문경시","가은읍","왕능리","453-1","4728025321","4728025300",,,,"128.066996573219","36.6553760155307","라바506509","20231220","KT","KC_502_LLR_MOVIE_DRMA_PLCE_2023","20231220"
"KCMPLPO23N000000003","장소","관광지","6079896","웰컴투동막골촬영지",,,"60515","드라마/영화촬영지","5176031022200500014","강원특별자치도","평창군","미탄면","율치리","산50-14","5176031022","5176031000",,,,"128.470356729814","37.3154650388921","라사859244","20231220","KT","KC_502_LLR_MOVIE_DRMA_PLCE_2023","20231220"
"KCMPLPO23N000000004","장소","관광지","6843696","박하사탕촬영지",,,"60515","드라마/영화촬영지","4315036028107240000","충청북도","제천시","백운면","애련리","724","4315036028","4315036000",,,,"128.060973648509","37.0896154911562","라바498991","20231220","KT","KC_502_LLR_MOVIE_DRMA_PLCE_2023","20231220"
"KCMPLPO23N000000005","장소","관광지","6854153","엽기적인그녀촬영지",,,"60515","드라마/영화촬영지","5177025923104990011","강원특별자치도","정선군","신동읍","조동리","499-11","5177025923","5177025900",,,,"128.688524255095","37.2014499241859","마사054120","20231220","KT","KC_502_LLR_MOVIE_DRMA_PLCE_2023","20231220"
"KCMPLPO23N000000006","장소","관광지","6864413","화왕산촬영지",,,"60515","드라마/영화촬영지","4874025023102440002","경상남도","창녕군","창녕읍","말흘리","244-2","4874025023","4874025000",,,,"128.508454160501","35.5390779404821","라마914274","20231220","KT","KC_502_LLR_MOVIE_DRMA_PLCE_2023","20231220"
"KCMPLPO23N000000007","장소","관광지","7218675","용마공원용마랜드",,,"60515","드라마/영화촬영지","1126010500200690001","서울특별시","중랑구","망우동",,"산69-1","1126010500","1126066000","112604118167","망우로70길","118","127.10575154409","37.5944728997649","다사651550","20231220","KT","KC_502_LLR_MOVIE_DRMA_PLCE_2023","20231220"
"KCMPLPO23N000000008","장소","관광지","7218849","횡성테마랜드",,,"60515","드라마/영화촬영지","5173031021105580001","강원특별자치도","횡성군","우천면","두곡리","558-1","5173031021","5173031000",,,,"128.037632773646","37.4769931728385","라사475421","20231220","KT","KC_502_LLR_MOVIE_DRMA_PLCE_2023","20231220"
"KCMPLPO23N000000009","장소","관광지","7345735","익산교도소세트장",,,"60515","드라마/영화촬영지","4514035022101540004","전라북도","익산시","성당면","와초리","154-4","4514035022","4514035000","451404607929","함낭로","207","126.93126293823","36.0693698843572","다마487859","20231220","KT","KC_502_LLR_MOVIE_DRMA_PLCE_2023","20231220"
"KCMPLPO23N000000010","장소","관광지","7461518","전주영화종합촬영소",,,"60515","드라마/영화촬영지","4511114500105400000","전라북도","전주시 완산구","상림동",,"540","4511114500","4511171400","451114598286","원상림길","125-14","127.075101851519","35.8147163300193","다마616576","20231220","KT","KC_502_LLR_MOVIE_DRMA_PLCE_2023","20231220"
"KCMPLPO23N000000011","장소","관광지","8012142","연애소설촬영장소",,,"60515","드라마/영화촬영지","5176038024107040000","강원특별자치도","평창군","대관령면","횡계리","704","5176038024","5176038000","517604484055","꽃밭양지길","708-9","128.723704234189","37.7394665247162","마사078717","20231220","KT","KC_502_LLR_MOVIE_DRMA_PLCE_2023","20231220"
"KCMPLPO23N000000012","장소","관광지","8012148","가을동화촬영장소",,,"60515","드라마/영화촬영지","5176038024107040000","강원특별자치도","평창군","대관령면","횡계리","704","5176038024","5176038000","517604484055","꽃밭양지길","708-9","128.721787288904","37.7407119703406","마사076719","20231220","KT","KC_502_LLR_MOVIE_DRMA_PLCE_2023","20231220"
"KCMPLPO23N000000013","장소","관광지","8012150","여친소촬영장소",,,"60515","드라마/영화촬영지","5176038024107040000","강원특별자치도","평창군","대관령면","횡계리","704","5176038024","5176038000","517604484055","꽃밭양지길","708-9","128.725117649217","37.7469910252684","마사079726","20231220","KT","KC_502_LLR_MOVIE_DRMA_PLCE_2023","20231220"
"KCMPLPO23N000000014","장소","관광지","8012155","태극기휘날리며촬영지",,,"60515","드라마/영화촬영지","5176038024107040000","강원특별자치도","평창군","대관령면","횡계리","704","5176038024","5176038000","517604484055","꽃밭양지길","708-9","128.725428654869","37.7476452730891","마사079727","20231220","KT","KC_502_LLR_MOVIE_DRMA_PLCE_2023","20231220"
"KCMPLPO23N000000015","장소","관광지","8012157","웰컴투동막골촬영지",,,"60515","드라마/영화촬영지","5176038024107040000","강원특별자치도","평창군","대관령면","횡계리","704","5176038024","5176038000","517604484055","꽃밭양지길","708-9","128.725428624875","37.7476090420819","마사079727","20231220","KT","KC_502_LLR_MOVIE_DRMA_PLCE_2023","20231220"
"KCMPLPO23N000000016","장소","관광지","8456608","대조영촬영지",,,"60515","드라마/영화촬영지","5121011300100240066","강원특별자치도","속초시","장사동",,"24-66","5121011300","5121051000",,,,"128.523764412099","38.2076611705725","라아896235","20231220","KT","KC_502_LLR_MOVIE_DRMA_PLCE_2023","20231220"
