title,posterURL,planArea,planAddr,planLat,planLon,planCounty
언니네 산지직송2,https://www.jnfilm.or.kr/web_cargo/bbs/injeonnam/202505/cd23c34d.jpg,완도 신지도,전남 완도군 신지면 신상리 545-2,34.333793723869,126.848666458827,완도군
악연,https://www.jnfilm.or.kr/web_cargo/bbs/injeonnam/202504/0a484783.jpg,(구) 장흥교도소,전남 장흥군 용산면 어산리 962,34.62939199157511,126.90022014505392,장흥군
계시록,https://www.jnfilm.or.kr/web_cargo/bbs/injeonnam/202503/6400325c.jpg,(구) 장흥교도소,전남 장흥군 용산면 어산리 962,34.62939199157511,126.90022014505392,장흥군
하이퍼나이프,https://www.jnfilm.or.kr/web_cargo/bbs/injeonnam/202503/9bae97f5.jpg,국립목포해양대학교,전남 목포시 죽교동 562-84,34.79120153921345,126.36295973474314,목포시
폭싹 속았수다,https://www.jnfilm.or.kr/web_cargo/bbs/injeonnam/202503/2a9490aa.jpg,순천드라마촬영장,전남 순천시 조례동 23,34.9584569682125,127.538244213124,순천시
춘화연애담,https://www.jnfilm.or.kr/web_cargo/bbs/injeonnam/202503/542218f1.jpg,낙안읍성,전남 순천시 낙안면 동내리 438-1,34.90613559530928,127.34176553069862,순천시
달려라 불꽃소녀,https://www.jnfilm.or.kr/web_cargo/bbs/injeonnam/202503/f7b2db55.jpg,목포 국제축구센터,전남 목포시 대양동 950-5,34.828861445905666,126.39650029969948,목포시
원경,https://www.jnfilm.or.kr/web_cargo/bbs/injeonnam/202503/10c21350.jpg,낙안읍성,전남 순천시 낙안면 동내리 438-1,34.90613559530928,127.34176553069862,순천시
나의 완벽한 비서,https://www.jnfilm.or.kr/web_cargo/bbs/injeonnam/202503/c789ee58.jpg,영암 국제자동차경주장,전남 영암군 삼호읍 삼포리 1904,34.73596082831428,126.41034065000444,영암군
오징어 게임 2,https://www.jnfilm.or.kr/web_cargo/bbs/injeonnam/202503/751126ef.jpg,큰끝등대,전남 여수시 돌산읍 평사리 산 1-1,34.6604487103373,127.805358717558,여수시
대가족,https://www.jnfilm.or.kr/web_cargo/bbs/injeonnam/202412/5e782c90.jpg,장성 백양사,전남 장성군 북하면 약수리 26,35.43938477713701,126.88339439583986,장성군
옥씨부인전,https://www.jnfilm.or.kr/web_cargo/bbs/injeonnam/202412/091c2995.jpg,쌍산재,전남 구례군 마산면 사도리 632,35.21575369398138,127.49804338860984,구례군
가석방 심사관 이한신,https://www.jnfilm.or.kr/web_cargo/bbs/injeonnam/202411/5ec89e8d.jpg,(구) 장흥교도소,전남 장흥군 용산면 어산리 962,34.62939199157511,126.90022014505392,장흥군
O'PENing(오프닝) 2024 - 수령인,https://www.jnfilm.or.kr/web_cargo/bbs/injeonnam/230/JNFC_230.jpg,진도 운림산방,전남 진도군 의신면 사천리 61,34.4663734250738,126.308532597986,진도군
정숙한 세일즈,https://www.jnfilm.or.kr/web_cargo/bbs/injeonnam/233/JNFC_233.jpg,담양 담양호,전남 담양군 용면 월계리 411-4,35.398751699949614,127.006001556352,담양군
정년이,https://www.jnfilm.or.kr/web_cargo/bbs/injeonnam/234/JNFC_234.jpg,낙안읍성,전남 순천시 낙안면 동내리 438-1,34.90613559530928,127.34176553069862,순천시
이토록 친밀한 배신자,https://www.jnfilm.or.kr/web_cargo/bbs/injeonnam/232/JNFC_232.jpg,장흥 곰치재터널,전남 장흥군 장평면 우산리 산 39,34.8290866652088,126.93589249285584,장흥군
"전,란",https://www.jnfilm.or.kr/web_cargo/bbs/injeonnam/231/JNFC_231.jpg,낙안읍성,전남 순천시 낙안면 동내리 438-1,34.90613559530928,127.34176553069862,순천시
개소리,https://www.jnfilm.or.kr/web_cargo/bbs/injeonnam/229/JNFC_229.jpg,순천만국가정원 경관정원,전남 순천시 풍덕동 332-11,34.9328654392534,127.504112842827,순천시
파친코 시즌2,https://www.jnfilm.or.kr/web_cargo/bbs/injeonnam/228/JNFC_228.jpg,(구) 목포공립심상소학교 (유달초등학교),전남 목포시 중동2가 7-4,34.7862745861124,126.379375330126,목포시
행복의 나라,https://www.jnfilm.or.kr/web_cargo/bbs/injeonnam/225/JNFC_225.jpg,(구) 장흥교도소,전남 장흥군 용산면 어산리 962,34.62939199157511,126.90022014505392,장흥군
빅토리,https://www.jnfilm.or.kr/web_cargo/bbs/injeonnam/227/JNFC_227.jpg,순천 금당고등학교,전남 순천시 조례동 450-7,34.9510533831138,127.524572567559,순천시
리볼버,https://www.jnfilm.or.kr/web_cargo/bbs/injeonnam/224/JNFC_224.jpg,순천 거차어촌마을,전남 순천시 별량면 마산리 724-1,34.8370905170234,127.446599140189,순천시
탈주,https://www.jnfilm.or.kr/web_cargo/bbs/injeonnam/223/JNFC_223.jpg,광양 (폐) 터널,전남 광양시 중군동 산 118-22,34.963876546093445,127.65468281976374,광양시
돌풍,https://www.jnfilm.or.kr/web_cargo/bbs/injeonnam/222/JNFC_222.jpg,(구) 장흥교도소,전남 장흥군 용산면 어산리 962,34.62939199157511,126.90022014505392,장흥군
하이재킹,https://www.jnfilm.or.kr/web_cargo/bbs/injeonnam/221/JNFC_221.jpg,(구) 장흥교도소,전남 장흥군 용산면 어산리 962,34.62939199157511,126.90022014505392,장흥군
목화솜 피는 날,https://www.jnfilm.or.kr/web_cargo/bbs/injeonnam/220/JNFC_220.jpg,목포 신항만,전남 목포시 달동 1329,34.7562091834203,126.3543819595644,목포시
삼식이삼촌,https://www.jnfilm.or.kr/web_cargo/bbs/injeonnam/192/JNFC_192.JPG,해남 옥매광산,전남 해남군 황산면 옥동리 산 27,34.56624330122241,126.35570439528236,해남군
BEGINS ≠ YOUTH,https://www.jnfilm.or.kr/web_cargo/bbs/injeonnam/202503/1903dc56.jpg,죽도봉,전남 순천시 조곡동 산 64-7,34.9537469787138,127.494421378498,순천시
종말의 바보,https://www.jnfilm.or.kr/web_cargo/bbs/injeonnam/219/JNFC_219.jpg,(구) 장흥교도소,전남 장흥군 용산면 어산리 962,34.62939199157511,126.90022014505392,장흥군
수사반장1958,https://www.jnfilm.or.kr/web_cargo/bbs/injeonnam/187/JNFC_187.JPG,순천드라마촬영장,전남 순천시 조례동 23,34.9584569682125,127.538244213124,순천시
세자가 사라졌다,https://www.jnfilm.or.kr/web_cargo/bbs/injeonnam/186/JNFC_186.JPG,순천만국가정원_한국정원,전남 순천시 오천동 460,34.9268464940016,127.496111752414,순천시
씬,https://www.jnfilm.or.kr/web_cargo/bbs/injeonnam/202503/ff99e3b2.jpg,순천부 읍성 남문터광장,전남 순천시 영동 5-4,34.9538426034412,127.4836556507891,순천시
1박 2일,https://www.jnfilm.or.kr/web_cargo/bbs/injeonnam/218/JNFC_218.jpg,여수 이순신광장,전남 여수시 중앙동 383,34.7394475965836,127.736049922969,여수시
로얄로더,https://www.jnfilm.or.kr/web_cargo/bbs/injeonnam/217/JNFC_217.jpg,(구) 장흥교도소,전남 장흥군 용산면 어산리 962,34.62939199157511,126.90022014505392,장흥군
"세작, 매혹된 자들",https://www.jnfilm.or.kr/web_cargo/bbs/injeonnam/193/JNFC_193.JPG,낙안읍성,전남 순천시 낙안면 동내리 438-1,34.90613559530928,127.34176553069862,순천시
