등록번호,등록명칭,등록일자,대상지역,생산계획량(톤),업체명,데이터기준일자
제1호,보성 녹차,2002-01-25,행정구역상 전라남도 보성군 일원,10,영농조합법인보성녹차연합회,2023-08-08
제11호,해남 겨울배추,2005-12-26,행정구역상 전라남도 해남군 일원,68393,해남겨율배추생산자협의회영농조합법인,2023-08-08
제14호,고흥 유자,2006-05-08,행정구역상 전라남도 고흥군 일원,5104,고흥유자연합회영농조합법인,2023-08-08
제26호,진도 홍주,2007-01-23,행정구역상 전라남도 진도군 일원,745,사단법인진도홍주연합회,2023-08-08
제31호,무안 양파,2007-07-02,행정구역상 전라남도 무안군 일원,62792,무안양파영농조합법인,2023-08-08
제36호,광양 매실,2007-08-27,행정구역상 전라남도 광양시 일원,4482,광양매실생산자단체영농조합법인,2023-08-08
제42호,해남 고구마,2008-01-30,행정구역상 전라남도 해남군 일원,14061,(사)해남고구마생산자협회,2023-08-08
제43호,영암 무화과,2008-01-30,행정구역상 전라남도 영암군 일원,836,영암무화과생산자단체영농조합법인,2023-08-08
제57호,함평 한우,2009-09-14,행정구역상 전라남도 함평군 일원,532,함평축산업협동조합,2023-08-08
제61호,진도 대파,2010-03-02,행정구역상 전라남도 진도군 일원,30197,사단법인 진도대파생산자단체협의회,2023-08-08
제65호,영광 찰쌀보리쌀,2010-03-25,행정구역상 전라남도 영광군 일원,2507,사단법인영광군찰쌀보리연합회,2023-08-08
제67호,여수 돌산갓,2010-07-12,행정구역상 전라남도 여수시 일원,17843,여수시돌산갓영농조합법인,2023-08-08
제68호,여수 돌산갓김치,2010-07-12,행정구역상 전라남도 여수시 일원,2939,(사)여수돌산갓김치생산자연합회,2023-08-08
제70호,담양 딸기,2010-11-08,행정구역상 전라남도 담양군 일원,7634,담양딸기영농조합법인,2023-08-08
제71호,보성 웅치올벼쌀,2010-11-08,행정구역상 전라남도 보성군 일원,307,보성농협웅치지점,2023-08-08
제80호,영광 한우,2011-12-26,행정구역상 전라남도 영광군 일원,503,영광축산업협동조합,2023-08-08
제81호,나주 배,2012-03-05,행정구역상 전라남도 나주시 일원,21732,나주배지리적표시영농조합법인,2023-08-08
제83호,고흥 한우,2012-04-10,행정구역상 전라남도 고흥군 일원,1500,고흥한우명품화사업단영농조합법인,2023-08-08
제84호,진도 검정쌀,2012-04-10,행정구역상 전라남도 진도군 일원,5800,(사)진도검정쌀생산자단체협의회,2023-08-08
제85호,여수 거문도쑥,2012-07-30,행정구역상 전라남도 여수시 일원,387,거문도해충쑥영농조합법인,2023-08-08
제90호,영광 고추,2013-12-10,행정구역상 전라남도 영광군 일원,1110,사단법인영광고추산업연합회,2023-08-08
제91호,영광 고춧가루,2013-12-10,행정구역상 전라남도 영광군 일원,386,사단법인영광고추산업연합회,2023-08-08
제94호,고흥 석류,2014-02-06,행정구역상 전라남도 고흥군 일원,400,고흥석류친환경영농조합법인,2023-08-08
제95호,진도 울금,2014-05-07,행정구역상 전라남도 진도군 일원,359,(사)진도울금생산자단체협의회,2023-08-08
제99호,고흥 마늘,2015-03-30,행정구역상 전라남도 고흥군 일원,16536,고흥마늘연합회영농조합법인,2023-08-08
제104호,영광 모싯잎송편,2017-05-11,행정구역상 전라남도 영광군 일원,1500,영광에서모싯잎떡을만드는사람들,2023-08-08
제108호,곡성 토란,2019-09-17,행정구역상 전라남도 곡성군 일원,1700,사단법인 곡성군토란생산자협의회,2023-08-08
제111호,보성 키위,2022-11-07,행정구역상 전라남도 보성군 일원,3150,(사)보성군키위연합회,2023-08-08
제112호,곡성 멜론,2022-11-07,행정구역상 전라남도 곡성군 일원,3024,농업회사법인 곡성멜론주식회사,2023-08-08
